giriftaarii,giriftaarii|giriftaarii-e
rauzan,rauzan|rauzan-e
((ar.sah,((ar.sah|((ar.sah-e
vaadii,vaadii-e
raushan,raushan
ayaa;g,ayaa;g
.saaf,.saaf
:tara;h,:tara;h
;xaanah-viiraa;n-saazii,;xaanah-viiraa;n-saazii-e
:tauq,:tauq|:tauq-e
shab,shab|shab'haa-e|shab-e
qad,qad-o-gesuu
((alii,((alii
na:zar,na:zar|na:zar'haa-e
;gaazah,;gaazah
((alam,((alam
takraar,takraar|takraar-e
naa-saazii,naa-saazii-e
;xvud-daarii,;xvud-daarii-e
ta.savvur,ta.savvur|ta.savvur-e
ta;h.siil,ta;h.siil
:taa))uus,:taa))uus
.sa;hraa-navard,.sa;hraa-navard
((unvaan,((unvaan-e
but-shikanii,but-shikanii
ta))ammul,ta))ammul
ta.savvuf,ta.savvuf
tangnaa,tangnaa-e
.sa;hraa-dast-gaah-o-qa:trah,.sa;hraa-dast-gaah-o-qa:trah
tamkii;n-aazmaa,tamkii;n-aazmaa
((andaliib,((andaliib
tanhaa,tanhaa
((uryaa;n,((uryaa;n
:tab((,:tab((-e
pardah-daarii,pardah-daarii|pardah-daarii-e
pareshaanii,pareshaanii|pareshaanii-e
naa-guziir,((ishq-o-naa-guziir-e
takalluf,takalluf
asiir,asiir
:tavaaf,:tavaaf-e
niko-naamii,niko-naamii-e
afsurdagii,afsurdagii|afsurdagii-e
.sub;h-o-mihr,.sub;h-o-mihr
talvaar,talvaar
takyah-gaah,takyah-gaah-e
taab,taab|taab-e|taab-o-tavaa;n|taab-o-tuvaa;n
:turfah,:turfah
taak,taak
ta;gaaful,ta;gaaful|ta;gaafulhaa-e
taar,taar|taar-e
:tiflaa;n,:tiflaa;n
mushk-buu,mushk-buu
((aql-o-dil-o-jaa;n,((aql-o-dil-o-jaa;n
;gam,;gamhaa-e
((ishq-o-mazduurii,((ishq-o-mazduurii-e
raunaq,raunaq|raunaq-e
tabaahii,tabaahii
ma;hramii,ma;hramii-e
parastaarii,parastaarii-e
aasmaanii,aasmaanii
aatish-baar,aatish-baar
:tilism,:tilism|:tilism-e
ba;gal,ba;gal
ta((ziyat,ta((ziyat-e
aashtii,aashtii-e
jaavidaanii,jaavidaanii-e
((ishrat-gah,((ishrat-gah-e
bahaa,bahaa-e
diivaar-juu,diivaar-juu
rasm-o-raah,rasm-o-raah
tiryaakii,tiryaakii-e
rusvaa))ii,rusvaa))ii|rusvaa))ii-e
ham-naamii,ham-naamii-e
.zid,.zid
sha;x.s,sha;x.s
;gaarat,;gaarat
((aish,((aish|((aish-e|((aish-o-jaah
kaavish,kaavish|kaavish'haa-e|kaavish-e
naaz,((izz-o-naaz
ta.sviir-numaa,ta.sviir-numaa
((aduu,((aduu
tangii,tangii-e
ta.sviir,ta.sviir
((adam,((adam
;gala:tii,;gala:tii|;gala:tiihaa-e
bu((d,bu((d
.sub;h-dam,.sub;h-dam
((aajiz,((aajiz|((aajiz-e
((aziiz,((aziiz
.salaa,.salaa|.salaa-e
par-fishaanii,par-fishaanii|par-fishaanii-e
suukh,suukh
bujhaanaa,bujhaa))e
((u;zr-;xvaah,((u;zr-;xvaah|((u;zr-;xvaah-e
:tuumaar,:tuumaar-e
asad,((umr-o-asad
ak;sar,ak;sar
tajaahul-peshagii,tajaahul-peshagii
((ajab,((ajab
:talabgaar,:talabgaar-e
ruu,ruu
suruur-o-soz,suruur-o-soz
aa;nsuu,aa;nsuu
:zuhuur,:zuhuur
taf,taf-e
nus;xah,nus;xah'haa-e|nus;xah-e
:tarab,:tarab
:taraf,:taraf
taazah,taazah
bandagii,bandagii|bandagii-e
ta;zkirah,ta;zkirah-e
;gaaliyah-mo,;gaaliyah-mo
rasm-o-rah,rasm-o-rah-e
kaa;ga.z,kaa;ga.z
mihr,.sub;h-o-mihr
;gala:t-bardaar,;gala:t-bardaar
soz,suruur-o-soz
ta((ajjub,ta((ajjub
((uquubat,((uquubat
baarish,baarish
tavaa;n,taab-o-tavaa;n
aarzuu,aarzuu
:tu((mah,:tu((mah
((aib,((aib
((aalii-guhar,((aalii-guhar
jaa;n-gudaazii,jaa;n-gudaazii-e
.sariir,.sariir-e
raq.s,raq.s-e
faqa:t,faqa:t
.sabr,.sabr-e
apnaa,apnaa|apnaa-saa|apne|apnii
taab-o-tavaa;n,taab-o-tavaa;n
but,butaa;n
buu,buu
((ataab,((ataab
.sad-hazaar,.sad-hazaar
;gaflat,;gaflat|;gaflat-e
aisaa,aisaa|aise|aisii
hastii,hastii|hastii-e
sust-ruu,sust-ruu
laf:z,laf:z
((uqdah,((uqdah-e
;ga.zab,;ga.zab
:talab,:talab
((unvaa;n,((unvaa;n
.safaa,.safaa-e
zabaanii,zabaanii|zabaanii-e
:tauf,:tauf-e
bulbul,bulbule;n
begaanagii,begaanagii|begaanagii-e
.sa;hraa,.sa;hraa|.sa;hraa-e
.sabr-aazmaa,.sabr-aazmaa
chaahiye,chaahiye
az,az
:tabii((at,:tabii((at|:tabii((at-e
:turrah,:turrah|:turrah'haa-e|:turrah-e
tabassum,tabassum-e|tabassumhaa-e
taqriir,taqriir
((ibaarat,((ibaarat
ra((naa))ii,ra((naa))ii-e
taqriib,taqriib|taqriib-e
.sa;hraa-gard,.sa;hraa-gard
((uyuub,((uyuub-e
((i:tr,((i:tr-e
:tarz,:tarz-e|:tarz-o-ravish
ta((alluq,ta((alluq
anguur,anguur
siyah-mastii,siyah-mastii-e
.suvar,.suvar
bulaanaa,bulaa|bulaa))e|bulaataa
:tarf,:tarf-e
naalah,naalah|naalah'haa-e|naalah-e
na;gmah,na;gmah|na;gmah'haa-e|na;gmah-e
:tama((,:tama((-e
;xuubii,;xuubii-e
((ibaadat,((ibaadat
.sad-rang,.sad-rang
ay,ay
tajammul,tajammul
