adaa-e naaz
afshardah-e anguur
afsurdagii-e dil
afsuun-e inti:zaar
ahl-e :talab
ahl-e ;xirad
ahl-e bazm
ahl-e biinish
ahl-e dahr
ahl-e havas
ahl-e himmat
ahl-e jafaa
ahl-e jahaa;n
ahl-e junuu;n
ahl-e na:zar
ahl-e shauq
ahl-e su;xan
ahl-e tadbiir
ajzaa-e do-((aalam-dasht
ajzaa-e iimaa;n
ajzaa-e naalah
ajzaa-e nigaah-e aaftaab
ajzaa-e pareshaa;n
andaaz-e ((itaab
andaaz-e a;sar
andaaz-e bah
andaaz-e bayaa;n
andaaz-e chakiidan
andaaz-e guftaguu
andaaz-e gul
andaaz-e gul-afshaanii-e guftaar
andaaz-e junuu;n
andaazah-e ;xumaar
andaazah-e himmat
andaazah-e taqriir
andeshah'haa-e duur-daraaz
andoh-e ((ishq
andoh-e shab-e furqat
andoh-e vafaa
angusht-e ;hinaa))ii
anjum-e ra;xshindah
anjuman-e aarzuu
anjuman-e naaz
arzaanii-e mai-e jalvah
asad-e ;xastah-jaa;n
auj-e :taala((-e la((l-o-guhar
auraaq-e la;xt-e dil
aurang-e sulaimaa;n
ba((d-e marg
ba((d-e qatl
ba((d-e yak
ba:t-e mai
ba;gair-e yak
ba;hr-e be-karaa;n
ba;xt-e ;xuftah
ba;xt-e rasaa
ba;xyah-e chaak-e garebaa;n
baa((i;s-e afzaa))ish-e dard-e daruu;n
baa((i;s-e naumiidii-e arbaab-e havas
baa((i;s-e taa;xiir
baa-vujuud-e yak
baa;g-baanii-e .sa;hraa
baa;g-e ri.zvaa;n
baa;g-e shiguftah
baab-e nabard
baad-e bahaar
baadah-e doshiinah
baadah-e shabaanah
baadbaan-e kishtii-e mai
baal-e ((anqaa
baal-e humaa
baal-e tadarv
baal-e yak
baaliin-e yaar
baar-e ;xaa:tir
baar-e ;xudaa
baar-e bistar
baar-e minnat-e mazduur
baarbud-e bazm-e su;xan
baavujuud-e dil-jam((ii
baazaar-e dost
baaziichah-e a:tfaal
bad-mastii-e har
bahaa-e bosah
bahaa-e mataa((-e hunar
bahaadur-e ((aalii-guhar
bahaanah-e begaanagii
bahaanah-e raa;hat
bahaar-e naaz
bahr-e aashiyaa;n
bahr-e mulaaqaat
bai.zah-e mor
bai.zah-e qumrii
bajaa-e ;hasrat-e naaz
bajaa-e ;xvud
bajaa-e daanah
balaa-e aasmaanii
balaa-e jaa;n
banaat-ul-na((sh-e garduu;n
band-e ((ishq
band-e naqaab-e ;husn
band-e qabaa
bandagii-e buu-turaab
bar-;xvurdaar-e bistar
bar-ruu-e shash
bar-sabiil-e shikaayat
baraa-e ;xudaa
baraa-e vidaa((
baraat-e ma((aash-e junuun-e ((ishq
bard-e liyaalii
barg-e ((aafiyat
barq-e ;husn
barq-e ;xirman
barq-e ;xirman-e raa;hat
barq-e na:zaarah-soz
barq-e soz-e dil
barq-e tajallii
barshkaal-e giryah-e ((aashiq
bayaabaa;n-navard-e vahm-e vujuud
bayaan-e sho;xii-e guftaar-e dost
bazm-e ((aish-e dost
bazm-e :tarab
bazm-e ;gair
bazm-e ;xayaal
bazm-e butaa;n
bazm-e mai
bazm-e naaz
bazm-e qada;h
bazm-e shaahinshaah
be-;xuun-e dil
be-;xvudii-e ((aish-e maqdam-e sailaab
be-ayyaam-e gul
be-daad-e ;zauq-e par-fishaanii
be-kaarii-e junuu;n
be-mihrii-e yaaraan-e va:tan
be-minnat-e kaimuus
be-partav-e ;xvurshed
be-rab:tii-e ((unvaa;n
be-shaanah-e .sabaa
bedaad-e ((ishq
bedaad-e dost
bedaad-e kaavish'haa-e mizhgaa;n
bedaad-e rashk-e ;gair
bedaad-e vafaa
begaanagii-e ;xalq
begaanah-e vafaa
bekasii-e ((ishq
bekasii-haa-e shab-e hijr
biim-e raqiib
biimaar-e dost
biimaarii-e ;gam
binaa-e ;xandah
bisaa:t-e ((ajz
bisaa:t-e .su;hbat-e a;hbaab
bisaa:t-e nashaa:t-e dil
bistar-e tamhiid-e faraa;gat
bos-e qadam
bun-e har
bun-e muu
burdan-e .sad
burrish-e te;g-e jafaa
but-e ((arbadah-juu
but-e ;gaaliyah-mo
but-e aa))inah-siimaa
but-e be-daad-fan
but-e bedaad-gar
but-e kaafir
but-e naazuk-badan
but-e pai;gaarah-juu
buu-e dost
buu-e gul
buu-e pairahan
buud-e chiraa;g-e kushtah
chaak-e garebaa;n
chaak-e jigar
chaarah-e ;gam-e ulfat
chaarah-saazii-e va;hshat
char;x-e barii;n
char;x-e kuhan
char;x-e mukaukab
char;x-e niilii-faam
chashm-e ;xariidaar
chashm-e ;xuu;n-fishaa;n
chashm-e ;xuubaa;n
chashm-e bad
chashm-e biinaa
chashm-e butaa;n
chashm-e fusuu;n-gar
chashm-e maa
chashm-e mast
chashm-e mast-e naaz
chashm-e nargis
chashm-e rauzan
chashm-e sozan
chashm-e tang
chashm-e tar
chashm-e vaa-gardiidah
chashm-o-chiraa;g-e .sa;hraa
chashmak'haa-e lail;aa
chashmhaa-e kushaadah
chiin-e jabii;n
chiraa;g-e ;xaanah-e darvesh
chiraa;g-e murdah
chiraa;g-e rahguzaar-e baad
chiraa;g-e raushan
chiraa;gaan-e sar-e rah-guzar-e baad
chiraa;gaan-e shabistaan-e dil-e parvaanah
da((v;aa-e vaa-rastagii
da((vaa-e jam((iyyat-e a;hbaab
da((vaa-e rasaa))ii
da((vat-e aab-o-havaa
da((vat-e mizhgaa;n
daa;g-e ((ishq
daa;g-e ((uyuub-e barahnagii
daa;g-e :ta((n-e bad-((ahdii
daa;g-e ;hasrat-e dil
daa;g-e ;hasrat-e hastii
daa;g-e bad-gumaanii-e sham((a
daa;g-e dil
daa;g-e dil-e bedard
daa;g-e firaaq-e .su;hbat-e shab
daa;g-e jigar
daa;g-e mah
daa;g-e naa-tamaamii
daa;g-e nihaa;n
daa;g-e palang
daa;g-e tamannaa-e nashaa:t
daam-e ;xaalii
daam-e har
daam-e shuniidan
daam-e tamannaa
daamaan-e ;xayaal-e yaar
daamaan-e baa;g-baan-o-kaf-e gul-farosh
daastaan-e shauq
daf((-e paikaan-e qa.zaa
dahaan-e har
dahaan-e za;xm
dahan-e sher
daliil-e sa;har
dallaal-e jins-e rusvaa))ii
dam-e ;zikr
dam-e aab-e baqaa
dam-e iijaad
dam-e marg
dam-e samaa((
dam-e sard
dam-e shamshiir
dam-e ta;hriir
dar-;xvur-e ((aqd-e guhar
dar-;xvur-e ((ar.z
dar-;xvur-e ma;hfil
dar-;xvur-e qahr-o-;ga.zab
dar-e ((adaalat-e naaz
dar-e aa))iinah
dar-e ganjiinah-e gauhar
dar-e ka((bah
dar-e yaar
dar-havaa-e yak
dar-o-diivaar-e ;gam-kadah
dar-pa-e diivaar-o-dar
dar-qafaa-e ;xandah
daraaz-dastii-e qaatil
dard-e be-davaa
dard-e dil
dars-e ((unvaan-e tamaashaa
dars-e daftar-e imkaa;n
daryaa-e be-taabii
daryaa-e ma((aa.sii
daryaa-e mai
dashnah-e ;gamzah
dashnah-e mizhgaa;n
dasht-e qais
dast-e but-e bad-mast
dast-e qa.zaa
dast-e tah-e sang-aamadah
dast-gaah-e diidah-e ;xuu;n-baar-e majnuu;n
daur-e jaam
daur-e qada;h
daur-e saa;gar
diidah-e ((ibrat-nigaah
diidah-e ;hairaa;n
diidah-e ;xuu;n-baar
diidah-e ;xuu;n-naabah-fishaa;n
diidah-e a;xtar
diidah-e be-;xvaab
diidah-e biinaa
diidah-e diidaar-jo
diidah-e dil
diidah-e na;xchiir
diidah-e pur-;xuu;n
diidah-e saa;gar
diidah-e tar
diidah-e ya((quub
