urdu,transliteration,count
نذرے دال فریبایے عانوان,na;zr-e dil-farebii-e ((unvaa;n,1
صاورتے عالم,.suurat-e ((aalam,1
سر تا سرے خاک,sar-taa-sar-e ;xaak,1
دلایلے سحر,daliil-e sa;har,1
ندایمے داوست,nadiim-e dost,1
شاکایتے رنجے گاران ناشاین,shikaayat-e ranj-e giraa;n-nishii;n,1
ناگاہے بی حاجابے ناز,nigaah-e be-;hijaab-e naaz,1
طاقتے رم,:taaqat-e ram,1
لافے تمکاین,laaf-e tamkii;n,1
گازر گاہے خیالے ماےوساغر,guzar-gaah-e ;xayaal-e mai-o-saa;gar,1
دامے ہر,daam-e har,1
اغاوشے رقایب,aa;gosh-e raqiib,1
ندازے چکایدن,andaaz-e chakiidan,1
رنگے خار,rang-e ;xaar,1
کمندے شاکارے ثر,kamand-e shikaar-e a;sar,1
مکتبے غمے دال,maktab-e ;gam-e dil,1
چشمے روزن,chashm-e rauzan,1
تاریاکایے قدایم,tiryaakii-e qadiim,1
وادایے پار خار,vaadii-e pur-;xaar,1
فردے جمعوخرجے زبانہاے لال,fard-e jam((-o-;xarj-e zabaa;nhaa-e laal,1
اہے نایم شبای,aah-e niim-shabii,1
موجے ماحایطے بی خوادای,mauj-e mu;hii:t-e be-;xvudii,1
ماناندے گال,maanind-e gul,1
وعدہے ساےرے گالاستان,va((dah-e sair-e gulistaa;n,1
درودایوارے غم کدہ,dar-o-diivaar-e ;gam-kadah,1
مجالے خواب,majaal-e ;xvaab,1
حاجابے پاسے وضع,;hijaab-e paas-e va.z((a,1
شہایدے گالے خازانایے شمع,shahiid-e gul-e ;xizaanii-e sham((a,1
دالے بی مادّعا,dil-e be-mudda((aa,1
حاسنے مہ,;husn-e mah,1
پا بستگایے رسمورہے عام,paa-bastagii-e rasm-o-rah-e ((aam,1
باسترے تمہایدے فراغت,bistar-e tamhiid-e faraa;gat,1
منصبے شیفتگای,man.sab-e sheftagii,1
داکانے متاعے نظر,dukaan-e mataa((-e na:zar,1
ناورے صابح,nuur-e .sub;h,1
اعجازے مسایحا,i((jaaz-e masii;haa,1
بالے ہاما,baal-e humaa,1
کاشادوبستے ماژہ,kushaad-o-bast-e mizhah,1
رواشے خاص,ravish-e ;xaa.s,1
پیچوتابے ہوس,pech-o-taab-e havas,1
عایدے نظّارہ,((iid-e na:z:zaarah,1
پابندے ناے,paaband-e nai,1
پایرے کنعان,piir-e kan((aa;n,1
ناےرنگے بیتابای,nairang-e betaabii,1
سامانے نازے زخمے دال,saamaan-e naaz-e za;xm-e dil,1
زخمے سر,za;xm-e sar,1
ساپندے بزمے وصلے غاےر,sipand-e bazm-e va.sl-e ;gair,1
رخشے عامر,ra;xsh-e ((umr,1
فریبے سادہ دالای,fareb-e saadah-dilii,1
خلاشے غمزہے خاون ریز,;xalish-e ;gamzah-e ;xuu;n-rez,1
کالبادے صاورتے دایوار,kaalbud-e .suurat-e diivaar,1
سزاے کمالے ساخن,sazaa-e kamaal-e su;xan,1
یارانے ناکتہ دان,yaaraan-e nuktah-daa;n,1
موجے باوے گال,mauj-e buu-e gul,1
طرزے تپاکے ہلے دانیا,:tarz-e tapaak-e ahl-e dunyaa,1
اغاوشے خمے حلقہے زانّار,aa;gosh-e ;xam-e ;halqah-e zunnaar,1
فرشے راہ,farsh-e raah,1
قابلہے حاجات,qiblah-e ;haajaat,1
راندے شاہاد باز,rind-e shaahid-baaz,1
شاگافتنے گالہاے ناز,shuguftan-e gulhaa-e naaz,1
شاعاے ماہر,shu((aa-e mihr,1
نمک پاشے خراشے دال,namak-paash-e ;xaraash-e dil,1
رازقے ہم,rizq-e ham,1
بلاے اسمانای,balaa-e aasmaanii,1
جوہرے تیغ,jauhar-e te;g,1
گرمے دامن فشانای,garm-e daaman-afshaanii,1
حرفے ماکرّر,;harf-e mukarrar,1
گداے ماے,gadaa-e mai,1
طاقتے فریاد,:taaqat-e faryaad,1
ماقدارے حسرتے دال,miqdaar-e ;hasrat-e dil,1
ساےلے خان مان,sail-e ;xaan-maa;n,1
داغے عاشق,daa;g-e ((ishq,1
سروے قامت,sarv-e qaamat,1
جلوہے تامثال,jalvah-e tim;saal,1
نفسے عاطر ساے گال,nafas-e ((i:tr-saa-e gul,1
شرابے طہاور,sharaab-e :tahuur,1
ورق گردانایے ناےرنگے یک,varaq-gardaanii-e nairang-e yak,1
ماقابالودعواے عاشق,muqaabil-o-da((vaa-e ((ishq,1
حالے وفا,;haal-e vafaa,1
نایامے پردہے زخمے جاگر,niyaam-e pardah-e za;xm-e jigar,1
عرضے نازے شاوخایے دندان,((ar.z-e naaz-e sho;xii-e dandaa;n,1
عاشرتے قتل گہے ہلے تمنّا,((ishrat-e qatl-gah-e ahl-e tamannaa,1
خاونے گرمے داہقان,;xuun-e garm-e dihqaa;n,1
کاوے داوست,kuu-e dost,1
صاورتے نقشے قدم,.suurat-e naqsh-e qadam,1
ماصایبتے نا سازایے دوا,mu.siibat-e naa-saazii-e davaa,1
تقاضاے جفا,taqaa.zaa-e jafaa,1
طاقتے پرواز,:taaqat-e parvaaz,1
امدے فصلے لالہ کارای,aamad-e fa.sl-e laalah-kaarii,1
شاکوہے بیداد,shikvah-e bedaad,1
خاوبایے وضاعے بناے زمان,;xuubii-e au.zaa((-e abnaa-e zamaa;n,1
جنّتے ناگاہ,jannat-e nigaah,1
طرزے ساتم,:tarz-e sitam,1
داغے مہ,daa;g-e mah,1
بہادارے عالای گاہر,bahaadur-e ((aalii-guhar,1
باساطے نشاطے دال,bisaa:t-e nashaa:t-e dil,1
دراز دستایے قاتال,daraaz-dastii-e qaatil,1
مجماوعہے خیال,majmuu((ah-e ;xayaal,1
مقامے ترکے حاجابوواداعے تمکاین,maqaam-e tark-e ;hijaab-o-vidaa((-e tamkii;n,1
زایارت گاہے حاےرانای,ziyaarat-gaah-e ;hairaanii,1
گاوشے نصایحت نایاوش,gosh-e na.sii;hat-niyosh,1
غرقہے ماے,;garqah-e mai,1
نشاطے عاشق,nashaa:t-e ((ishq,1
ساتارہے گوہر فراوش,sitaarah-e gauhar-farosh,1
ظرفے قدح خوار,:zarf-e qada;h-;xvaar,1
شوقے وصل,shauq-e va.sl,1
ائانہ دارایے یک,aa))inah-daarii-e yak,1
گواہے عاشق,gavaah-e ((ishq,1
گرم بازارے فوجدارای,garm-baazaar-e faujdaarii,1
قدرے ظرف,qadr-e :zarf,1
عاذر خواہے لبے بی سوال,((u;zr-;xvaah-e lab-e be-savaal,1
تارے شاعاع,taar-e shu((aa((,1
رفتارے عامر,raftaar-e ((umr,1
لکد کاوبے حواداث,lakad-kob-e ;havaadi;s,1
صاورت خانہے خمیازہ,.suurat-;xaanah-e ;xamyaazah,1
پاے ثبات,paa-e ;sabaat,1
کاشتہے داشمن,kushtah-e dushman,1
نجامنے ناز,anjuman-e naaz,1
دستے تہے سنگ امدہ,dast-e tah-e sang-aamadah,1
بارے باستر,baar-e bistar,1
ماژدہے قتل,muzhdah-e qatl,1
بطے ماے,ba:t-e mai,1
سرے راشتہے سلامت,sar-e rishtah-e salaamat,1
رقایبے سروسامان,raqiib-e sar-o-saamaa;n,1
نقشے وفا,naqsh-e vafaa,1
چشمے فاساون گر,chashm-e fusuu;n-gar,1
ساےرے گال,sair-e gul,1
رہنے ماے,rahn-e mai,1
بعدے مرگ,ba((d-e marg,1
با واجاودے یک,baa-vujuud-e yak,1
محوے تماشاے داماغ,ma;hv-e tamaashaa-e dimaa;g,1
طاوفانے حواداث,:tuufaan-e ;havaadi;s,1
گانبدے بی در,gunbad-e be-dar,1
ودایعت خانہے بیدادے کاواشہاے ماژگان,vadii((at-;xaanah-e bedaad-e kaavish'haa-e mizhgaa;n,1
نبضے خس,nab.z-e ;xas,1
خوارشایدے جہان تاب,;xvurshiid-e jahaa;n-taab,1
موجہے خاون,maujah-e ;xuu;n,1
ہلے ہوس,ahl-e havas,1
حاسنے عمل,;husn-e ((amal,1
ساحالے دریاے خاون,saa;hil-e daryaa-e ;xuu;n,1
ہنگامے کمال,hangaam-e kamaal,1
ساراشکے سر,sirishk-e sar,1
حلقہے دامے ہواے گال,;halqah-e daam-e havaa-e gul,1
ہلے نظر,ahl-e na:zar,1
فریبے ہستای,fareb-e hastii,1
خاو کردہے ختر شامارای,;xuu-kardah-e a;xtar-shumaarii,1
محوے تماشاے شاکستے دال,ma;hv-e tamaashaa-e shikast-e dil,1
غمے ہستای,;gam-e hastii,1
طالابے تاثایر,:taalib-e taa;siir,1
شمعے کاشتہ,sham((-e kushtah,1
خاکے شہایدان,;xaak-e shahiidaa;n,1
نازاشے ہم نامایے چشمے خاوبان,naazish-e ham-naamii-e chashm-e ;xuubaa;n,1
جان دادہے ہواے سرے رہ گازار,jaa;n-daadah-e havaa-e sar-e rah-guzaar,1
نازے باستر,naaz-e bistar,1
گاوشے گال,gosh-e gul,1
شبے حاجران,shab-e ;hijraa;n,1
بایمے رقایب,biim-e raqiib,1
پانبہے بالاش,punbah-e baalish,1
حاسنے ظنّ,;husn-e :zann,1
بر خواردارے باستر,bar-;xvurdaar-e bistar,1
محراومایے تسلایموبدا,ma;hruumii-e tasliim-o-badaa,1
عاذرے وا ماندگای,((u;zr-e vaa-maa;ndagii,1
جاوشے گال,josh-e gul,1
ثوابے طاعتوزاہد,;savaab-e :taa((at-o-zuhd,1
ماسرّتے پاےغامے یار,musarrat-e pai;gaam-e yaar,1
خاونے گرم,;xuun-e garm,1
شادابے رنگوسازہا,shaadaab-e rang-o-saaz'haa,1
جاناونے عاشق,junuun-e ((ishq,1
سازے ہستای,saaz-e hastii,1
اہے اتاشاین,aah-e aatishii;n,1
جامے سفال,jaam-e safaal,1
قابلہے مقصدے ناگاہے نایاز,qiblah-e maq.sad-e nigaah-e niyaaz,1
صفے ماژگان,.saf-e mizhgaa;n,1
فاراوغے ماے,furo;g-e mai,1
ناگہے چشمے سارمہ سا,nigah-e chashm-e surmah-saa,1
عرضے ناز,((ar.z-e naaz,1
باغے راضوان,baa;g-e ri.zvaa;n,1
غرّہے وجے باناے عالمے امکان,;garrah-e auj-e binaa-e ((aalam-e imkaa;n,1
نواے سراوش,navaa-e sarosh,1
بازارے داوست,baazaar-e dost,1
ماے خانہے جاگر,mai-;xaanah-e jigar,1
باتے بیداد گر,but-e bedaad-gar,1
مانکرے وفا,munkar-e vafaa,1
داماغے اہاوے دشتے تتار,dimaa;g-e aahuu-e dasht-e tataar,1
